x-axis,1
second,Volt
-21.56250E+00,+1.92996E+00
-21.52344E+00,+1.98524E+00
-21.48438E+00,+2.05434E+00
-21.44531E+00,+2.13851E+00
-21.40625E+00,+2.25785E+00
-21.36719E+00,+2.37469E+00
-21.32813E+00,+2.49278E+00
-21.28906E+00,+2.57192E+00
-21.25000E+00,+2.64856E+00
-21.21094E+00,+2.71765E+00
-21.17188E+00,+2.73273E+00
-21.13281E+00,+2.71640E+00
-21.09375E+00,+2.73524E+00
-21.05469E+00,+2.74403E+00
-21.01563E+00,+2.72519E+00
-20.97656E+00,+2.71891E+00
-20.93750E+00,+2.65861E+00
-20.89844E+00,+2.51539E+00
-20.85938E+00,+2.37971E+00
-20.82031E+00,+2.24780E+00
-20.78125E+00,+2.11087E+00
-20.74219E+00,+1.92745E+00
-20.70313E+00,+1.90735E+00
-20.66406E+00,+1.85584E+00
-20.62500E+00,+1.82067E+00
-20.58594E+00,+1.83826E+00
-20.54688E+00,+1.89102E+00
-20.50781E+00,+1.92494E+00
-20.46875E+00,+1.97770E+00
-20.42969E+00,+2.01539E+00
-20.39063E+00,+2.07569E+00
-20.35156E+00,+2.15609E+00
-20.31250E+00,+2.26665E+00
-20.27344E+00,+2.36212E+00
-20.23438E+00,+2.42620E+00
-20.19531E+00,+2.45886E+00
-20.15625E+00,+2.49152E+00
-20.11719E+00,+2.52795E+00
-20.07813E+00,+2.53800E+00
-20.03906E+00,+2.53926E+00
-20.00000E+00,+2.55434E+00
-19.96094E+00,+2.59956E+00
-19.92188E+00,+2.60710E+00
-19.88281E+00,+2.55308E+00
-19.84375E+00,+2.61212E+00
-19.80469E+00,+2.52167E+00
-19.76563E+00,+2.53800E+00
-19.72656E+00,+2.46765E+00
-19.68750E+00,+2.39730E+00
-19.64844E+00,+2.42996E+00
-19.60938E+00,+2.46388E+00
-19.57031E+00,+2.40735E+00
-19.53125E+00,+2.39604E+00
-19.49219E+00,+2.43625E+00
-19.45313E+00,+2.42494E+00
-19.41406E+00,+2.35710E+00
-19.37500E+00,+2.28172E+00
-19.33594E+00,+2.21137E+00
-19.29688E+00,+2.14353E+00
-19.25781E+00,+2.10207E+00
-19.21875E+00,+2.08449E+00
-19.17969E+00,+2.06062E+00
-19.14063E+00,+2.05810E+00
-19.10156E+00,+2.08700E+00
-19.06250E+00,+2.09328E+00
-19.02344E+00,+2.15735E+00
-18.98438E+00,+2.21137E+00
-18.94531E+00,+2.28549E+00
-18.90625E+00,+2.38097E+00
-18.86719E+00,+2.41363E+00
-18.82813E+00,+2.43122E+00
-18.78906E+00,+2.46640E+00
-18.75000E+00,+2.46765E+00
-18.71094E+00,+2.48273E+00
-18.67188E+00,+2.51539E+00
-18.63281E+00,+2.54931E+00
-18.59375E+00,+2.55685E+00
-18.55469E+00,+2.54429E+00
-18.51563E+00,+2.57444E+00
-18.47656E+00,+2.58072E+00
-18.43750E+00,+2.56313E+00
-18.39844E+00,+2.52670E+00
-18.35938E+00,+2.46765E+00
-18.32031E+00,+2.42368E+00
-18.28125E+00,+2.34956E+00
-18.24219E+00,+2.24027E+00
-18.20313E+00,+2.21765E+00
-18.16406E+00,+2.20258E+00
-18.12500E+00,+2.15609E+00
-18.08594E+00,+2.13474E+00
-18.04688E+00,+2.16614E+00
-18.00781E+00,+2.18499E+00
-17.96875E+00,+2.22142E+00
-17.92969E+00,+2.27419E+00
-17.89063E+00,+2.32695E+00
-17.85156E+00,+2.36087E+00
-17.81250E+00,+2.40861E+00
-17.77344E+00,+2.47393E+00
-17.73438E+00,+2.51288E+00
-17.69531E+00,+2.53298E+00
-17.65625E+00,+2.55057E+00
-17.61719E+00,+2.55685E+00
-17.57813E+00,+2.52293E+00
-17.53906E+00,+2.52293E+00
-17.50000E+00,+2.54680E+00
-17.46094E+00,+2.57444E+00
-17.42188E+00,+2.56690E+00
-17.38281E+00,+2.51539E+00
-17.34375E+00,+2.50534E+00
-17.30469E+00,+2.51665E+00
-17.26563E+00,+2.46263E+00
-17.22656E+00,+2.44504E+00
-17.18750E+00,+2.41238E+00
